id,restaurant_name,address,lat,lng,rating,closing_time,hours_of_operation,closing_hour,peak_surplus_day,peak_surplus_kg
sb-ChIJ8Sr2_yMV6YAR,Islands,"3825 State St Space E-149, Santa Barbara, CA 93105, USA",34.43800580000001,-119.7484244,4.3,9:00 PM,Monday: 11:30 AM – 9:00 PM | Tuesday: 11:30 AM – 9:00 PM | Wednesday: 11:30 AM – 9:00 PM | Thursday: 11:30 AM – 9:00 PM | Friday: 11:30 AM – 9:00 PM | Saturday: 11:00 AM – 9:00 PM | Sunday: 11:00 AM – 9:00 PM,21.0,Sunday,30.59
sb-ChIJ4djgK31B6YAR,It's Just Wings,"6950 Market Pl Dr, Goleta, CA 93117, USA",34.429725,-119.87056,2.9,11:00 PM,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 11:00 PM | Sunday: 11:00 AM – 10:00 PM,23.0,Monday,27.19
sb-ChIJ-xx08mg_6YAR,Lao Wang Noodle Bar,"6530 Pardall Rd SUIT.B, Goleta, CA 93117, USA",34.4132721,-119.85478,4.3,10:00 PM,Monday: 11:00 AM – 10:00 PM | Tuesday: 11:00 AM – 10:00 PM | Wednesday: 11:00 AM – 10:00 PM | Thursday: 11:00 AM – 10:00 PM | Friday: 11:00 AM – 10:00 PM | Saturday: 11:00 AM – 10:00 PM | Sunday: 11:00 AM – 10:00 PM,22.0,Friday,27.59
sb-ChIJB-pH_2s_6YAR,Carrillo Dining Commons,"Ocean Rd, Santa Barbara, CA 93106, USA",34.4099498,-119.853122,4.2,2:00 PM,"Monday: 7:15 – 10:00 AM, 11:00 AM – 3:00 PM, 5:00 – 8:30 PM | Tuesday: 7:15 – 10:00 AM, 11:00 AM – 3:00 PM, 5:00 – 8:30 PM | Wednesday: 7:15 – 10:00 AM, 11:00 AM – 3:00 PM, 5:00 – 8:30 PM | Thursday: 7:15 – 10:00 AM, 11:00 AM – 3:00 PM, 5:00 – 8:30 PM | Friday: 7:15 – 10:00 AM, 11:00 AM – 3:00 PM, 5:00 – 8:30 PM | Saturday: 10:00 AM – 2:00 PM, 5:00 – 8:30 PM | Sunday: 10:00 AM – 2:00 PM, 5:00 – 8:30 PM",14.0,Sunday,41.02
sb-ChIJAZGj3-AU6YAR,Mulligan's Cafe & Bar,"3500 McCaw Ave, Santa Barbara, CA 93105, USA",34.4361076,-119.7383651,4.4,8:00 PM,Monday: 6:30 AM – 8:00 PM | Tuesday: 6:30 AM – 8:00 PM | Wednesday: 6:30 AM – 8:00 PM | Thursday: 6:30 AM – 8:00 PM | Friday: 6:30 AM – 8:00 PM | Saturday: 6:30 AM – 8:00 PM | Sunday: 6:30 AM – 8:00 PM,20.0,Sunday,35.45
sb-ChIJAepB9cIU6YAR,Petrini's Italian Restaurant - Santa Barbara,"14 W Calle Laureles, Santa Barbara, CA 93105, USA",34.439871,-119.728356,4.5,2:30 PM,"Monday: 11:30 AM – 2:30 PM, 4:30 – 8:30 PM | Tuesday: 11:30 AM – 2:30 PM, 4:30 – 8:30 PM | Wednesday: 11:30 AM – 2:30 PM, 4:30 – 8:30 PM | Thursday: 11:30 AM – 2:30 PM, 4:30 – 8:30 PM | Friday: 11:30 AM – 2:30 PM, 4:30 – 8:30 PM | Saturday: 11:30 AM – 2:30 PM, 4:30 – 8:30 PM | Sunday: 11:30 AM – 2:30 PM, 4:30 – 8:30 PM",14.5,Sunday,41.42
sb-ChIJ5_ziFJgV6YAR,Noe’s Cafe SB,"129 E Anapamu St, Santa Barbara, CA 93101, USA",34.4253202,-119.7027278,4.8,8:00 PM,Monday: 7:00 AM – 8:00 PM | Tuesday: 7:00 AM – 8:00 PM | Wednesday: 7:00 AM – 8:00 PM | Thursday: 7:00 AM – 8:00 PM | Friday: 7:00 AM – 8:00 PM | Saturday: 7:00 AM – 8:00 PM | Sunday: 7:00 AM – 2:30 PM,20.0,Sunday,36.38
sb-ChIJ4aQlrJoT6YAR,101 Deli,"130 N Calle Cesar Chavez, Santa Barbara, CA 93103, USA",34.4203427,-119.6845845,4.6,Unknown,Monday: 7:00 AM – 3:00 PM | Tuesday: 7:00 AM – 3:00 PM | Wednesday: 7:00 AM – 3:00 PM | Thursday: 7:00 AM – 3:00 PM | Friday: 7:00 AM – 3:00 PM | Saturday: Closed | Sunday: Closed,21.0,Sunday,30.95
sb-ChIJ-53KhekU6YAR,El Sitio Restaurant - De La Vina,"2830 De La Vina St, Santa Barbara, CA 93105, USA",34.4369958,-119.7258598,4.3,8:30 PM,Monday: 8:00 AM – 8:30 PM | Tuesday: 8:00 AM – 8:30 PM | Wednesday: 8:00 AM – 8:30 PM | Thursday: 8:00 AM – 8:30 PM | Friday: 8:00 AM – 8:30 PM | Saturday: 8:00 AM – 8:30 PM | Sunday: Closed,20.5,Sunday,32.81
sb-ChIJASLuZ2sT6YAR,Silvers Omakase,"224 Helena Ave, Santa Barbara, CA 93101, USA",34.4152102,-119.6917626,4.6,11:00 PM,Monday: Closed | Tuesday: 5:00 – 11:00 PM | Wednesday: 5:00 – 11:00 PM | Thursday: 5:00 – 11:00 PM | Friday: 5:00 – 11:00 PM | Saturday: 5:00 – 11:00 PM | Sunday: Closed,23.0,Monday,26.15
